spec	modelNum	modelTime	modelMem	sign	testtuple	pass	askTime	askMem	numProvs	maxTreeDepth	maxNumAlphas	maxHighlight	info
grade.als	1	1100243835	30635688	true	assigned_to(Assignment$0->Student$1)	true	12187115	31967400	0	0	0	0	-
grade.als	1	1100243835	30635688	true	this/Class(Class$2)	true	63877697	34635000	3	4	2	28	-
grade.als	1	1100243835	30635688	true	instructor_of(Class$1->Professor$0)	true	30880870	37298720	1	5	3	28	-
grade.als	1	1100243835	30635688	true	this/Assignment(Assignment$0)	true	78817745	41294136	3	4	5	85	-
grade.als	1	1100243835	30635688	true	this/Class(Class$0)	true	16393176	42625848	1	3	1	28	-
grade.als	1	1100243835	30635688	true	assistant_for(Class$1->Student$0)	true	6528078	45289392	0	0	0	0	-
grade.als	1	1100243835	30635688	true	this/Class(Class$1)	true	27159471	45289392	2	3	1	28	-
grade.als	1	1100243835	30635688	true	this/Student(Student$1)	true	39009590	46621824	3	4	2	26	-
grade.als	1	1100243835	30635688	true	assistant_for(Class$2->Student$1)	true	4376396	46621824	0	0	0	0	-
grade.als	1	1100243835	30635688	true	associated_with(Assignment$0->Class$2)	true	163726207	55954040	2	8	11	85	-
grade.als	1	1100243835	30635688	true	assistant_for(Class$1->Student$1)	true	6184637	55954040	0	0	0	0	-
grade.als	1	1100243835	30635688	true	this/Professor(Professor$0)	true	30806556	57285744	3	4	2	28	-
grade.als	1	1100243835	30635688	true	assistant_for(Class$2->Student$0)	true	6759638	58617504	0	0	0	0	-
grade.als	1	1100243835	30635688	true	this/Student(Student$0)	true	30094652	59949352	3	4	2	26	-
grade.als	1	1100243835	30635688	true	instructor_of(Class$0->Professor$0)	true	22373641	59949352	1	5	3	28	-
grade.als	1	1100243835	30635688	true	instructor_of(Class$2->Professor$0)	true	22567529	61281264	1	5	3	28	-
grade.als	1	1100243835	30635688	true	assigned_to(Assignment$0->Student$0)	true	5477880	61281264	0	0	0	0	-
grade.als	1	1100243835	30635688	false	assistant_for(Class$0->Professor$0)	true	12550122	62613000	1	4	2	20	-
grade.als	1	1100243835	30635688	false	assistant_for(Class$0->Student$0)	true	2600989	62613000	0	0	0	0	-
grade.als	1	1100243835	30635688	false	assistant_for(Class$2->Professor$0)	true	11879579	62613000	1	4	2	20	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$0->Student$0)	true	22706341	63944728	2	4	3	28	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$1->Student$1)	true	21768116	66584576	2	4	3	28	-
grade.als	1	1100243835	30635688	false	this/Assignment(unused6)	true	18400511	66584576	2	3	1	26	-
grade.als	1	1100243835	30635688	false	assistant_for(Class$1->Professor$0)	true	10218846	8958752	1	4	2	20	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$1->Student$0)	true	18362044	11276264	2	4	3	28	-
grade.als	1	1100243835	30635688	false	assigned_to(unused6->Professor$0)	true	9534141	11276264	1	4	2	20	-
grade.als	1	1100243835	30635688	false	this/Assignment(unused7)	true	17592397	12434912	2	3	1	26	-
grade.als	1	1100243835	30635688	false	associated_with(Assignment$0->Class$0)	true	14052181	13593784	1	4	3	26	-
grade.als	1	1100243835	30635688	false	assigned_to(unused7->Student$1)	true	8802436	14752496	1	4	2	20	-
grade.als	1	1100243835	30635688	false	associated_with(Assignment$0->Class$1)	true	12878777	15913752	1	4	3	26	-
grade.als	1	1100243835	30635688	false	associated_with(unused7->Class$1)	true	7416509	15913752	1	4	2	20	-
grade.als	1	1100243835	30635688	false	associated_with(unused6->Class$1)	true	7472794	17072488	1	4	2	20	-
grade.als	1	1100243835	30635688	false	assigned_to(unused7->Professor$0)	true	7306656	17072488	1	4	2	20	-
grade.als	1	1100243835	30635688	false	assigned_to(unused6->Student$0)	true	8964099	18231136	1	4	2	20	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$2->Student$0)	true	14254758	19389784	2	4	3	28	-
grade.als	1	1100243835	30635688	false	associated_with(unused7->Class$0)	true	7745344	20548744	1	4	2	20	-
grade.als	1	1100243835	30635688	false	assigned_to(unused6->Student$1)	true	7394299	20548744	1	4	2	20	-
grade.als	1	1100243835	30635688	false	this/Student(Professor$0)	true	2497017	20548744	0	0	0	0	-
grade.als	1	1100243835	30635688	false	associated_with(unused6->Class$0)	true	8566110	21707576	1	4	2	20	-
grade.als	1	1100243835	30635688	false	this/Professor(Student$0)	true	2615483	21707576	0	0	0	0	-
grade.als	1	1100243835	30635688	false	associated_with(unused7->Class$2)	true	7366580	21707576	1	4	2	20	-
grade.als	1	1100243835	30635688	false	assigned_to(Assignment$0->Professor$0)	true	9991628	22866424	1	4	2	20	-
grade.als	1	1100243835	30635688	false	this/Professor(Student$1)	true	2538928	22866424	0	0	0	0	-
grade.als	1	1100243835	30635688	false	assistant_for(Class$0->Student$1)	true	2505433	22866424	0	0	0	0	-
grade.als	1	1100243835	30635688	false	assigned_to(unused7->Student$0)	true	7078782	22866424	1	4	2	20	-
grade.als	1	1100243835	30635688	false	associated_with(unused6->Class$2)	true	6978842	24025152	1	4	2	20	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$2->Student$1)	true	16053544	25183992	2	4	3	28	-
grade.als	1	1100243835	30635688	false	instructor_of(Class$0->Student$1)	true	9071241	26342584	2	4	3	28	-
grade.als	2	1551529	27501240	true	this/Student(Student$0)	true	15276149	28659824	2	4	2	26	-
grade.als	2	1551529	27501240	true	assigned_to(Assignment$0->Student$1)	true	2025804	28659824	0	0	0	0	-
grade.als	2	1551529	27501240	true	assigned_to(Assignment$0->Student$0)	true	2660372	28659824	0	0	0	0	-
grade.als	2	1551529	27501240	true	this/Student(Student$1)	true	12566738	29818592	2	4	2	26	-
grade.als	2	1551529	27501240	true	assistant_for(Class$0->Student$1)	true	2154054	29818592	0	0	0	0	-
grade.als	2	1551529	27501240	true	assistant_for(Class$0->Student$0)	true	2419093	29818592	0	0	0	0	-
grade.als	2	1551529	27501240	true	this/Class(Class$0)	true	17874658	30977344	3	4	2	28	-
grade.als	2	1551529	27501240	true	instructor_of(Class$0->Professor$0)	true	10779382	32140176	1	5	3	28	-
grade.als	2	1551529	27501240	true	this/Assignment(Assignment$0)	true	29240388	34457488	3	4	5	85	-
grade.als	2	1551529	27501240	true	this/Professor(Professor$0)	true	7639322	35616264	1	4	2	28	-
grade.als	2	1551529	27501240	true	associated_with(Assignment$0->Class$0)	true	80983234	43737400	2	8	11	85	-
grade.als	2	1551529	27501240	false	assigned_to(unused6->Professor$0)	true	6787387	44897304	1	4	2	20	-
grade.als	2	1551529	27501240	false	this/Professor(Student$1)	true	2437594	44897304	0	0	0	0	-
grade.als	2	1551529	27501240	false	this/Assignment(unused6)	true	19215628	47215336	2	3	1	26	-
grade.als	2	1551529	27501240	false	assigned_to(unused7->Student$0)	true	7245769	47215336	1	4	2	20	-
grade.als	2	1551529	27501240	false	assistant_for(unused3->Student$0)	true	7755195	48373928	1	4	2	20	-
grade.als	2	1551529	27501240	false	assistant_for(unused4->Student$1)	true	6309578	48373928	1	4	2	20	-
grade.als	2	1551529	27501240	false	instructor_of(unused4->Professor$0)	true	9049934	48373928	1	4	2	20	-
grade.als	2	1551529	27501240	false	instructor_of(Class$0->Student$0)	true	17507031	50691304	2	4	3	28	-
grade.als	2	1551529	27501240	false	instructor_of(unused3->Student$1)	true	5296346	50691304	1	4	2	20	-
grade.als	2	1551529	27501240	false	assigned_to(unused7->Professor$0)	true	7856928	51850440	1	4	2	20	-
grade.als	2	1551529	27501240	false	assistant_for(unused4->Student$0)	true	5711915	51850440	1	4	2	20	-
